Cell,Number,Slice,Date,Sample,donor_id,Mouse date of birth,Mouse age,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,BICCN_cluster_label,RNA type confidence,RNA type top-3,ALMVISp top-3,Length (bp),Yield (pgµl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness,BICCN_ontology_term_id,BICCN_subclass_label,disease_ontology_term_id,assay_ontology_term_id,tissue_ontology_term_id,cell_type_ontology_term_id,development_stage_ontology_term_id,self_reported_ethnicity_ontology_term_id,sex_ontology_term_id,is_primary_data,organism_ontology_term_id,suspension_type,cell_type,assay,disease,organism,sex,tissue,self_reported_ethnicity,development_stage
20171219_sample_3,11,20171219_slice_3,2017-12-19,sample 3,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,427369,453683,79849,1,12376,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.4%),"L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)",2247.0,397.84,Fede,10.0,717.4,270.8,560.8,1547.808,y,nan,4.045097491786678,90.89738130569458,0.5544566041817641,1.008381186816392,0.2495576955626317,-42.491365224123,1.5999999999999903,0.0,0.21322444081306455,0.4569546672906739,0.008497638084230295,2.0225733634311536,1.6586042086168824,0.3917454943339704,124.00315671165787,104.12000000000002,71.04000000000002,11,14.11186610146775,1.8102133317339053,0,-73.18689967095852,120.0,0.0,1.0971845609856858,0.0,0.5714285714285714,4.657879655513653,0.0,ILX:0770174,L4/5 IT,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20171219_sample_4,12,20171219_slice_4,2017-12-19,sample 4,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,980179,592515,101977,2,12747,ET,L5 ET_1,0.96,L5 ET_1 (95.6%),L5 PT VISp Krt80 (97.0%),2222.0,515.48,Fede,8.0,911.6,332.7,599.8,1655.4479999999999,nan,nan,3.969004038283433,97.28781506419182,0.7135583250482221,1.1738168830836766,0.2639970949105317,-44.00912672281265,1.1999999999999789,0.0,-1.4177262783050537,0.6119402985074632,0.0027665859519891327,1.5906432748537984,2.5310214935202797,0.3155828599111698,113.45075983305773,61.12000000000001,38.6,22,12.031438863398614,3.162182954782864,0,-70.11492036879062,120.0,46.67316790640374,1.2091658109654264,0.50656,0.8333333333333334,3.639069762597472,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20171219_sample_6,13,20171219_slice_6,2017-12-19,sample 6,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2471422,3168436,549646,1,18199,ET,L5 ET_2,0.82,"L5 ET_2 (81.6%), L5 ET_4 (12.1%), L5 ET_3 (5.1%)",L5 PT VISp Lgr5 (100.0%),1877.0,430.57,Fede,10.0,642.3,234.3,589.4,1626.744,y,nan,2.404900503300603,102.04087942838669,0.9048109349701422,0.9898303611959616,0.21298364325112626,-46.829842031002045,1.2000000000000066,0.0,-0.43453648686409,0.26004228329809737,0.001808842414355629,0.8193916349809888,1.394963971943664,0.2772072069310522,115.03288695216185,140.76000000000005,87.84,26,16.47132136239517,4.739403243127995,0,-71.35295615196226,100.0,48.541387270987066,1.3439782416200057,0.5276400000000001,0.7333333333333333,3.574747912472713,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20171219_sample_7,14,20171219_slice_7,2017-12-19,sample 7,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1060473,251288,95858,1,14483,IT,L5 IT_1,0.61,"L5 IT_1 (61.3%), L4/5 IT_2 (37.3%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)",1826.0,713.3,Fede,12.0,645.1,235.0,591.2,1631.7120000000002,y,nan,4.178451183198025,93.87445077300072,0.5889788404319738,1.0199512075600985,0.2869000006949121,-41.427366435527794,1.3599999999999723,0.0,2.598777413368225,0.5310033821871473,0.004493656675749317,1.9456066945606676,1.7417996176144694,0.3499185065012701,128.00901498113365,151.04000000000005,91.28,17,14.25514508123915,1.4100377903696142,0,-71.568008685112,80.0,0.0,1.0842915367134334,0.0,0.8888888888888888,4.050946876520921,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20171219_sample_8,15,20171219_slice_8,2017-12-19,sample 8,mouse_KKXUD,2017-10-19,61,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6440446,745288,278593,1,18360,ET,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (6.3%), L5 ET_4 (4.7%)","L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)",2159.0,1307.7,Fede,11.0,654.3,239.5,513.0,1415.88,y,nan,3.94983506037882,94.58387643098831,0.6540616423242178,1.013810256373441,0.2380403188200783,-44.0932996571064,1.3199999999999878,0.0,0.927560031414032,0.7821316614420064,0.010668235793449945,1.601190476190474,9.938035536655631,0.4890113717733486,86.8868508165081,133.56,72.68000000000002,14,15.485937804505385,2.535858954269429,0,-70.98551642149688,160.0,0.0,1.2026537783585018,0.0,1.0,3.9505140404560315,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000052,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,8 weeks
20180102_sample_1,16,20180102_slice_1,2018-01-02,sample 1,mouse_HXCVU,2017-10-19,75,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1242323,1373770,310531,1,17573,ET,L5 ET_1,1.0,L5 ET_1 (100.0%),L5 PT ALM Slco2a1 (99.0%),2417.0,543.91,Fede,13.0,690.0,251.2,523.8,1445.6879999999999,y,nan,3.7472521820170575,90.95333144068718,0.7897397642994916,0.9720430192165826,0.2571154641537233,-43.02830249071121,1.5200000000000211,0.0,-2.688586711883545,0.0,0.01695780530713972,0.7916666666666666,1.4875549530701,0.4986097856318175,127.7595769166946,224.28,109.16,9,25.29833930772277,6.9299516436401225,0,-67.40421433448792,60.0,44.631772904395476,1.442181044094763,0.4920800000000001,0.8,3.723063290001654,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000054,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,10 weeks
20180102_sample_2,17,20180102_slice_2,2018-01-02,sample 2,mouse_HXCVU,2017-10-19,75,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1500863,2292323,484154,1,20942,IT,L5 IT_1,0.61,"L5 IT_1 (60.9%), L5 IT_2 (23.9%), L5 IT_3 (8.9%)","L5 IT ALM Gkn1 Pcdh19 (57.0%), L5 IT ALM Cpa6 Gpr88 (21.0%), L5 IT VISp Col27a1 (18.0%)",1808.0,778.66,Fede,12.0,717.8,266.7,585.6,1616.256,nan,nan,3.7551159640859857,92.02490746974944,0.5715306492896021,1.0266575842168224,0.2421626074249458,-41.75026714801788,1.600000000000018,0.0,-0.6868876516819,0.6739526411657561,0.0053690666272838495,10.052631578947368,2.8436962572931623,0.34590174213649005,220.18781371414659,69.92000000000002,41.72000000000001,14,21.80618990013587,3.231074231274377,0,-61.279776253551255,40.0,0.0,1.0954241868650738,0.0,0.75,4.410931045299684,0.0,ILX:0770157,L5 IT neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000054,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,10 weeks
20180102_sample_3,18,20180102_slice_3,2018-01-02,sample 3,mouse_HXCVU,2017-10-19,75,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,451976,633174,107891,1,15478,ET,L5 ET_1,1.0,L5 ET_1 (99.7%),"L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)",2456.0,582.7,Fede,11.0,801.6,305.5,533.9,1473.5639999999999,y,nan,1.1824049532759793,88.61049264669418,0.9366134870070888,0.9948927447978252,0.1392207277293338,-32.624106854200356,1.7600000000000393,0.0,-5.753971636295319,0.1812709030100339,0.0015380072689595993,1.3754646840148692,1.1051717233721603,0.21207090080359992,144.12831778079268,334.88000000000005,110.84000000000002,18,20.89199349474128,0.5217621637621974,0,-62.62846446186304,63.15789473684214,0.0,1.0496848229762132,0.0,0.8,3.958119058628923,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000054,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,10 weeks
20180102_sample_4,19,20180102_slice_4,2018-01-02,sample 4,mouse_HXCVU,2017-10-19,75,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,8136289,9307202,2326755,1,21702,ET,L5 ET_1,0.92,"L5 ET_1 (91.7%), L5 ET_4 (4.0%)","L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)",2003.0,717.83,Fede,11.0,716.0,307.9,536.7,1481.2920000000001,y,nan,4.513530658106167,96.54813259840012,0.6093663859761597,1.0618291305973449,0.27058408590941657,-48.23116585612297,1.4399999999999968,0.0,2.156618982553482,0.3067400275103158,0.0035613926619828267,3.642857142857141,1.9469076534340093,0.3078609861430691,161.24306729063397,85.16000000000003,54.48,16,23.018765101270372,4.522204402084341,0,-67.46532682478428,60.0,33.539445380717694,1.2785167753444335,0.38708000000000004,0.7777777777777778,3.8707290010443867,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000054,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,10 weeks
20180102_sample_5,20,20180102_slice_5,2018-01-02,sample 5,mouse_HXCVU,2017-10-19,75,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5405143,4146131,1093120,1,20304,IT,L4/5 IT_2,0.86,"L4/5 IT_2 (86.0%), L5 IT_1 (5.9%), L5 ET_2 (3.1%)","L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)",2053.0,524.61,Fede,12.0,589.5,218.8,557.6,1538.976,y,nan,0.9287875460040678,98.4029807150364,0.8810572293120121,0.9856450378823202,0.11196775358806954,-43.367810547351844,1.7599999999999838,0.0,-1.2999698519706726,0.2536616857581636,0.002989662267708055,1.3493862134088763,1.4847605224963718,0.224330641983818,152.79526938019052,218.04000000000005,101.12000000000002,11,22.62061285964521,5.20361027842317,0,-63.12547330856322,20.0,0.0,1.1537969869456253,0.0,0.8333333333333334,5.2691509153226574,0.0,ILX:0770174,L4/5 IT,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000054,na,PATO:0000384,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,male,primary motor cortex,na,10 weeks
20180103_sample_1,21,20180103_slice_1,2018-01-03,sample 1,mouse_BXLFB,2017-10-27,68,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,441628,616429,103467,2,13790,ET,L5 ET_1,0.91,"L5 ET_1 (91.3%), L5 ET_4 (5.1%)","L5 PT VISp Krt80 (93.0%), Oligo Synpr (4.0%)",2169.0,739.17,Fede,11.0,860.7,307.2,566.3,1562.9879999999998,nan,nan,4.717637351516439,94.370249658823,0.6845458584308348,1.00934729777943,0.2667825037309197,-45.07725685834885,1.3999999999999846,0.0,1.6689412295818329,0.5392809587217046,0.004459920982873476,6.084033613445377,2.155459592859372,0.3400791864019708,118.75208992262688,101.48000000000002,64.12,16,22.384001981742056,5.073435428804579,0,-64.56499718129635,60.0,37.74245438873786,1.2520449767092272,0.4334,0.7777777777777778,3.7628752116515116,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000053,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,9 weeks
20180103_sample_2,22,20180103_slice_2,2018-01-03,sample 2,mouse_BXLFB,2017-10-27,68,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,7817990,13265394,2283480,1,22341,ET,L5 ET_1,0.95,L5 ET_1 (95.0%),L5 PT ALM Slco2a1 (99.0%),2148.0,736.07,Fede,10.0,1001.9,363.3,578.9,1597.764,y,nan,2.4824163159095822,93.3276265859604,0.71228846219191,1.007319703232063,0.2144802831297784,-47.74453490972519,1.2000000000000066,0.0,3.8413330912590022,0.7045177045177039,0.002318000240130491,12.681372549019608,3.9562122450727233,0.2996203495780245,76.66500811420737,76.24000000000002,53.24000000000001,24,18.681310792209143,5.790922965123258,0,-67.6823491603136,61.33333333333334,45.519891587346834,1.407133387622319,0.5240800000000001,0.8461538461538461,3.4062181389439217,0.0,ILX:0770160,L5 ET neuron,PATO:0000461,EFO:0008853,UBERON:0001384,CL:0000679,MmusDv:0000053,na,PATO:0000383,True,NCBITaxon:10090,cell,glutamatergic neuron,Patch-seq,normal,Mus musculus,female,primary motor cortex,na,9 weeks
